theta,HH,VV
0.663864005001504,-8.361203999193481e+00,-6.530890364488648e+00
0.669091280631437,-8.408516767175881e+00,-6.546943968142100e+00
0.674318556261370,-8.456444403716626e+00,-6.563286081862438e+00
0.679545831891303,-8.504992706384698e+00,-6.579920164116619e+00
0.684773107521236,-8.554167528532197e+00,-6.596849689938404e+00
0.690000383151169,-8.603974779976081e+00,-6.614078150858309e+00
0.695227658781102,-8.654420427704876e+00,-6.631609054839000e+00
0.700454934411035,-8.705510496611852e+00,-6.649445926216520e+00
0.705682210040968,-8.757251070254526e+00,-6.667592305646921e+00
0.710909485670902,-8.809648291641750e+00,-6.686051750059129e+00
0.716136761300835,-8.862708364048888e+00,-6.704827832613670e+00
0.721364036930768,-8.916437551862527e+00,-6.723924142667602e+00
0.726591312560701,-8.970842181454685e+00,-6.743344285745787e+00
0.731818588190634,-9.025928642087665e+00,-6.763091883518606e+00
0.737045863820567,-9.081703386851244e+00,-6.783170573786775e+00
0.742273139450500,-9.138172933632285e+00,-6.803584010471696e+00
0.747500415080433,-9.195343866117419e+00,-6.824335863614410e+00
0.752727690710366,-9.253222834831377e+00,-6.845429819380138e+00
0.757954966340299,-9.311816558210221e+00,-6.866869580071139e+00
0.763182241970233,-9.371131823711554e+00,-6.888658864146585e+00
0.768409517600166,-9.431175488962904e+00,-6.910801406249846e+00
0.773636793230099,-9.491954482948753e+00,-6.933300957243780e+00
0.778864068860032,-9.553475807237955e+00,-6.956161284254188e+00
0.784091344489965,-9.615746537252836e+00,-6.979386170720725e+00
0.789318620119898,-9.678773823580823e+00,-7.002979416457213e+00
0.794545895749831,-9.742564893330169e+00,-7.026944837719203e+00
0.799773171379764,-9.807127051531412e+00,-7.051286267281160e+00
0.805000447009697,-9.872467682585707e+00,-7.076007554522247e+00
0.810227722639630,-9.938594251761343e+00,-7.101112565521211e+00
0.815454998269564,-1.000551430674059e+01,-7.126605183160690e+00
0.820682273899497,-1.007323547921803e+01,-7.152489307240964e+00
0.825909549529430,-1.014176548655180e+01,-7.178768854603591e+00
0.831136825159363,-1.021111213347055e+01,-7.205447759264905e+00
0.836364100789296,-1.028128331383665e+01,-7.232529972559911e+00
0.841591376419229,-1.035228701246811e+01,-7.260019463296380e+00
0.846818652049162,-1.042413130702113e+01,-7.287920217920346e+00
0.852045927679095,-1.049682436993592e+01,-7.316236240691518e+00
0.857273203309028,-1.057037447044619e+01,-7.344971553870975e+00
0.862500478938961,-1.064478997665664e+01,-7.374130197919804e+00
0.867727754568895,-1.072007935768868e+01,-7.403716231709731e+00
0.872955030198828,-1.079625118589881e+01,-7.433733732745629e+00
0.878182305828761,-1.087331413917031e+01,-7.464186797400788e+00
0.883409581458694,-1.095127700328194e+01,-7.495079541164477e+00
0.888636857088627,-1.103014867435561e+01,-7.526416098902990e+00
0.893864132718560,-1.110993816138678e+01,-7.558200625133341e+00
0.899091408348493,-1.119065458885952e+01,-7.590437294311379e+00
0.904318683978426,-1.127230719944961e+01,-7.623130301133387e+00
0.909545959608359,-1.135490535681903e+01,-7.656283860852303e+00
0.914773235238292,-1.143845854850507e+01,-7.689902209608284e+00
0.920000510868226,-1.152297638890741e+01,-7.723989604775337e+00
0.925227786498159,-1.160846862237686e+01,-7.758550325322101e+00
0.930455062128092,-1.169494512640915e+01,-7.793588672189903e+00
0.935682337758025,-1.178241591494870e+01,-7.829108968686100e+00
0.940909613387958,-1.187089114180505e+01,-7.865115560894703e+00
0.946136889017891,-1.196038110418764e+01,-7.901612818104306e+00
0.951364164647824,-1.205089624636234e+01,-7.938605133253268e+00
0.956591440277757,-1.214244716343496e+01,-7.976096923393522e+00
0.961818715907690,-1.223504460526681e+01,-8.014092630172645e+00
0.967045991537623,-1.232869948052653e+01,-8.052596720335352e+00
0.972273267167557,-1.242342286088535e+01,-8.091613686244555e+00
0.977500542797490,-1.251922598535866e+01,-8.131148046422869e+00
0.982727818427423,-1.261612026480311e+01,-8.171204346114660e+00
0.987955094057356,-1.271411728657195e+01,-8.211787157869452e+00
0.993182369687289,-1.281322881933846e+01,-8.252901082148110e+00
0.998409645317222,-1.291346681809126e+01,-8.294550747950408e+00
1.003636920947160,-1.301484342931072e+01,-8.336740813467120e+00
1.008864196577090,-1.311737099633307e+01,-8.379475966755054e+00
1.014091472207020,-1.322106206490990e+01,-8.422760926437956e+00
1.019318747836950,-1.332592938897138e+01,-8.466600442431583e+00
1.024546023466890,-1.343198593660235e+01,-8.510999296695665e+00
1.029773299096820,-1.353924489624007e+01,-8.555962304013001e+00
1.035000574726750,-1.364771968310212e+01,-8.601494312795790e+00
1.040227850356690,-1.375742394585618e+01,-8.647600205920739e+00
1.045455125986620,-1.386837157354183e+01,-8.694284901594017e+00
1.050682401616550,-1.398057670275394e+01,-8.741553354246435e+00
1.055909677246490,-1.409405372510103e+01,-8.789410555459602e+00
